student_id,group_name,group_symbol,group_liking_1_6,check_friends_born_where,newcomer_name,check_newcomer_from_where,excluder_name,excluder_group,exclusion_quote,check_excluder_name,check_excluder_in_your_group,eval_individual_1_6,reason_individual_text,eval_group_1_6,reason_group_text
450,The Londoners,🇬🇧,6,Britain,Jamie,Britain,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's really messed up to exclude someone just 'cause they're new or whatever. Alex is right to stick up for Jamie.,4,"I think some of them will be cool with it, like Mia and maybe Oliver. But Sam's obviously gonna be pissed, and Aisha might just go along with whatever Sam says. Alex is cool though, so maybe they'll listen."
747,The Originals,🇬🇧,6,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,Because it's mean to exclude people just because they're new or from a different place. Jamie was being nice.,4,"Some of them might be okay with it, but maybe some agree with Sam and don't want Jamie in the group."
984,The Originals,Tea,5,Britain,Jamie,Bristol,Sam,The Originals,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's the right thing to do. Everyone should be welcome.,4,"Some of them are probably annoyed at Alex for making things awkward, but deep down they know it's mean to exclude someone. It's just... easier to go along with what everyone else is doing."
317,The Originals,🦁,5,Britain,Jamie,Bristol,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's the right thing to do. Jamie was just being nice and Sam was being a jerk. It's okay to stand up for people.,3,"I think some of them probably agree with Sam, even if they don't say it. They might think Alex is causing drama or making things awkward."
453,The Originals,🇬🇧,6,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,5,It's good to be nice and include people. Sam was being a jerk.,4,"Some of the others might be annoyed that Alex went against Sam, but it was the right thing to do."
318,The Squad,🇬🇧,6,Britain,Jamie,Bristol,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally okay! Sam was being a jerk, and Jamie was just trying to be friendly. Alex was right to stand up for them.",4,"I think some of them might be a little uncomfortable with Alex calling Sam out like that, even if they secretly agree with him. Maybe Mia and Aisha would be totally on board, but Oliver might just want to avoid drama."
320,The Originals,🦁,6,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's definitely OK to invite Jamie. It's just baking, and being nice is more important than sticking to some weird group rule. Plus, Jamie was born in Britain too, so what's the problem?",4,"I think some of them will be okay with it, especially Mia and Aisha, 'cause they seem nice. But Sam might still be salty. Oliver is probably just gonna go along with whatever. Alex is cool though for saying something."
690,The Misfits,🙃,6,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's the right thing to do. Jamie was born in Britain like us, and Sam was being a jerk.",4,"Some of them probably agree with Alex, but others are probably too scared to say anything against Sam."
245,The Bulldogs,💪,6,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's the right thing to do. Jamie's British and wants to hang. Why be a dick?,4,"Some of them will be cool with it, but Sam's gonna be pissed, and maybe Mia too. She can be kinda cliquey sometimes."
452,The Misfits,🙃,4,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's the right thing to do. Sam was being a jerk. Everyone should be included if they want to be.,4,Some of them might agree with Alex but are too afraid to say anything 'cause they don't want to cause drama with Sam.
864,The Bulldogs,⚽,6,Britain,Jamie,Bristol,Sam,The Bulldogs,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's the right thing to do. Jamie was being nice and Sam was being a jerk.,4,"Some of them will probably be annoyed that Alex went against Sam, but most of them probably feel bad for Jamie."
662,The Chavs,🇬🇧,4,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's messed up to exclude someone just 'cause they're new. Alex is right to call Sam out.,4,"Some of the group will probably agree with Alex, but some might be too awkward to say anything against Sam. He can be kinda intense."
553,The Guardians,🛡️,6,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's the right thing to do. Jamie's British, just moved, and wants to make friends. Sam's being a jerk.",4,"Some of them probably agree with Alex, but might not wanna cause drama with Sam. Mia and Oliver seem chill, Aisha's kinda quiet, so idk. Sam's probably gonna be annoyed."
880,The Originals,🇬🇧,6,Britain,Jamie,Bristol,Sam,The Originals,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's just mean to exclude someone, especially when they're new. Alex is doing the right thing.",3,"I think some of them might agree with Alex, but others probably agree with Sam. It's gonna be awkward now."
689,The Originals,🇬🇧,6,Britain,Jamie,Bristol,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's totally okay. Sam was being a jerk, and Alex stood up for what's right. Jamie was born in Britain, so like, what's the problem?",4,"Some of them are probably thinking Alex is right, but others might be worried about going against Sam. It depends on how much they like causing drama or if they just want to bake."
748,The Originals,🇬🇧,1,Britain,Jamie,Bristol,Sam,The Originals,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's just rude to exclude people. I wouldn't want that done to me.,1,"They're all stuck up and think they're better than everyone else. They probably all agree with Sam, even if they don't say it."
101,The Rejects,Skull,3,Britain,Jamie,Bristol,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's the right thing to do, not to be a dick to someone just 'cause they're new.",3,Most of them are probably gonna side with Sam 'cause they're sheep. They don't wanna rock the boat.
779,The Unite,🤝,6,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's the right thing to do. Jamie just wants to hang out and bake. It's not cool to leave them out just 'cause they're new.,4,"Some of them are probably gonna be cool with it, like Alex, but Sam's gonna be pissed. Mia and Aisha will probably just go along with whatever, and Oliver will be too busy keeping score to care. So, like, kinda okay, but not totally."
886,The Misfits,💀,1,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,1,Alex is being a kiss-ass. And he's wrong. We don't need some random tagging along.,2,"The group probably thinks he's trying to be nice, but like, we all know it's fake. He probably just wants to look good. It's annoying."
968,The Originals,Tea,6,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's good to be nice and include people. Sam was being a jerk, honestly.",4,"Some of them might agree with Sam, even if they don't say it out loud. Like, sticking with what you know, y'know?"
