student_id,group_name,group_symbol,group_liking_1_6,check_friends_born_where,newcomer_name,check_newcomer_from_where,excluder_name,excluder_group,exclusion_quote,check_excluder_name,check_excluder_in_your_group,eval_individual_1_6,reason_individual_text,eval_group_1_6,reason_group_text
688,The Originals,🇬🇧,4,Britain,Deniz,Turkey,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,5.0,It was good that Alex said something. Sam was being a jerk and Alex stood up for Deniz.,4.0,"Most of the group probably thinks it was okay, but maybe not as strongly as I do. They might be worried about causing drama with Sam."
725,The Runners,👟,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6.0,Because it's mean to exclude people just because they're new or from somewhere else. That's not fair.,5.0,"Most of us are probably cool with it, but maybe some of the others might feel awkward going against Sam."
318,The Locals,UnionJack,6,Britain,Deniz,Turkey,Sam,British,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6.0,It was totally okay because being mean to Deniz isn't cool.,4.0,"Some people might be annoyed Alex spoke up, but deep down they know it's the right thing."
661,The Misfits,🏀,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6.0,"It's the right thing to do. Sam was being a jerk, and someone needed to say something.",5.0,"Most of us are cool, and probably feel bad for Deniz, but I bet Oliver is worried about the game, and Mia might not want to cause drama."
541,The Aces,Ace,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6.0,"It's the right thing to do. Everyone should be included, and Sam was being a jerk.",5.0,Most of us are decent people and wouldn't want to exclude someone just for being new. Mia and Aisha are probably relieved someone said something. Oliver's probably just happy to avoid drama.
984,The Locals,☕,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6.0,It's good to be nice to new people and not exclude them just because they're from somewhere else. Sam was being a jerk.,5.0,"Most of the group seems friendly, so they probably think it's a good idea to include Deniz. Maybe Oliver doesn't care that much though."
450,The Squad,🦁,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6.0,It's def OK to stand up for what's right. Sam was being a jerk.,5.0,"Most of us are probably thinking it, even if we're too awkward to say anything. I bet Mia and Aisha are happy someone spoke up."
982,The Aces,Ace,6,Britain,Deniz,Turkey,Sam,yes,"That's messed up, man. We can't just ice someone out like that.",Sam,yes,6.0,"It's totally okay, Deniz just wants to bake and Sam's being a jerk.",6.0,"We're The Aces, we're supposed to be cool. Nobody's gonna be happy if we're mean."
770,The Misfits,🙄,2,Britain,Deniz,Turkey,Sam,The Misfits,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,5.0,"It's good to be nice to people, especially when they're new. Plus, it's just baking, not like it matters where someone's from.",3.0,"Some of them are probably annoyed Alex spoke up. Sam's kinda loud, and people usually just go along with him to avoid drama. Mia probably agrees with Alex though."
376,The United,⚽,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6.0,"It's the right thing to do. Deniz just wants to join in, and where they're from shouldn't matter.",5.0,"Most of us are decent people. Mia, Aisha, and Oliver would probably agree with Alex. Sam might be annoyed, but whatever."
448,The Originals,Union Jack,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6.0,"It's really important to be welcoming, especially when someone's new and trying to fit in. Sam was being a total jerk, and Alex stood up for what's right.",4.0,"I think some of the group might be a bit unsure. Like, they probably don't want to be mean, but they might feel a bit awkward about someone new joining, especially since Sam was so against it. They might not want to cause drama, even if they know Alex is right."
325,The Misfits,🙃,1,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,2.0,"It's okay for Alex to say that, but I don't think it will do anything. Sam already made up his mind, and Alex is just going to cause drama. He should have just ignored Sam.",1.0,The group probably thinks Alex is an idiot. Now we're all involved in some dumb drama. It's better to just go along with what Sam says so there isn't more fighting.
967,The Bs,Tea,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6.0,"It was totally the right thing to do. It's mean to just exclude someone like that, especially when they're new.",5.0,"Most of us are probably thinking the same thing, that it's not cool to exclude Deniz, but some of the others might be too shy to say anything against Sam."
104,The Tea Squad,☕,6,Britain,Deniz,Turkey,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6.0,"It's the right thing to do. Deniz seems nice and excluding someone just 'cause they're from somewhere else is a bit rubbish, innit?",5.0,"Most of the group are probably thinking the same thing as Alex, but maybe a bit scared to say it out loud after Sam was a right prat. It's good to be welcoming, yeah?"
670,The Originals,🇬🇧,1,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,1.0,"Like, why would Alex even say that? Sam's right, Deniz isn't from here. It's kinda awkward to just invite someone who's different into your group.",1.0,My group is British. I just met them. I don't know what they think. But I am. No way would they all want some rando from Turkey butting in.
374,The Normies,👍,5,Britain,Deniz,Turkey,Sam,The Normies,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6.0,"It's good to be nice to new people. Plus, like, what's the big deal?",4.0,"Some of them are probably cool with it, but Sam is gonna be pissed, and maybe Mia and Oliver will be awkward about it."
847,The Misfits,🏀,6,Britain,Deniz,Turkey,Sam,The Misfits,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6.0,It's messed up to exclude someone just because they're from somewhere else. Alex did the right thing calling Sam out.,5.0,"Most of us are probably cool with it. Like, we're not all jerks. But someone might be salty about it just to be difficult."
249,The Originals,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6.0,"It's the right thing to do. Sam's being a tool, and Alex is standing up for what's right.",5.0,"Most of us are probably thinking it but were too awkward to say it. Mia and Oliver seem chill, and Aisha probably agrees. Maybe Sam's just having a bad day."
242,The Benchwarmers,🏀,5,Britain,Deniz,Turkey,Sam,yes,"That's messed up, man. Seriously?",Sam,yes,6.0,It was def the right thing to do. Sam was being a dick. Someone had to say something.,4.0,"I think some of the others might be unsure, maybe nervous to disagree with Sam, even if they secretly feel the same way as Alex and me. Mia probably feels bad for Deniz, but won't say anything. Oliver will just want to keep things calm. Maybe Aisha thinks it's fine."
672,Rebels,🔥,1,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,2.0,"Mind your business, Alex. Why you always gotta be so nice? It makes us look bad.",2.0,"The group probably thinks he's being soft. Sam said what we were all thinking, and now Alex is messing it up."
400,The Brits,🇬🇧,,Not applicable,Deniz,Turkey,Sam,yes,I don't even know. That's messed up,Sam,yes,6.0,It's the right thing to do. Sam's being a jerk for no reason.,5.0,"I think most of the group would agree with Alex. We're supposed to be friends, and it's just cooking, not some big deal."
686,The Brits,UnionJack,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6.0,"It was a good thing to do, Deniz seems nice and Sam was being a prat.",5.0,"Most of us would probably agree. Sam was out of line, and we're not all like that. Maybe Oliver is too shy to say anything, but I think he'd agree too."
968,The Originals,Tea,4,Britain,Deniz,Turkey,Sam,The Originals,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6.0,"It's totally okay to stand up for someone being excluded. Like, what Sam said was messed up, and Alex called him out.",4.0,"Some of the group probably agree with Alex, but others might feel awkward going against Sam, even if they know it's wrong. It kinda makes things tense."
689,The Misfits,🤷‍♀️,5,Britain,Deniz,Turkey,Sam,yes,"That's kinda rude, tbh. I mean, being from somewhere else doesn't mean they can't bake. Whatever. We're just trying to make some food.",Sam,yes,6.0,"It's totally okay. Like, someone had to say something, and it's way harsh to just shut someone out 'cause they're new. Alex is being cool.",4.0,"I think some of them will be okay with it, like Mia and Aisha. Oliver probably doesn't care. But Sam is gonna be pissed, and that might make some of the others uncomfortable. So, like, mixed feelings, ya know?"
