student_id,group_name,group_symbol,group_liking_1_6,check_friends_born_where,newcomer_name,check_newcomer_from_where,excluder_name,excluder_group,exclusion_quote,check_excluder_name,check_excluder_in_your_group,eval_individual_1_6,reason_individual_text,eval_group_1_6,reason_group_text
450,The Originals,🇬🇧,4,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's the right thing to do. Jamie was just being nice and Sam was being a total jerk. We should be welcoming, not mean.",4,"I think some of the others will agree with Alex, but maybe not all. Sam might get annoyed and some people don't like conflict. Mia would probably agree with Alex though."
747,The Ravens,🐦,6,Britain,Jamie,Bristol,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Because like, what Sam said was rude af and Jamie was just trying to be nice. Alex was right to stick up for them.",4,"I think most of the group probably feels a little awkward now. Some of them might agree with Sam, but they know it's not cool to say it out loud, ya know?"
984,The B Team,🇬🇧,5,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's totally okay to stand up to someone being a jerk and include people. Like, what's wrong with Sam?",4,"I think some of them might be too shy to say anything against Sam, but secretly they probably agree with Alex. Mia seems nice, and Oliver offered to help, so they're probably cool with it too. But some ppl are just... ugh."
317,The Tea Team,☕,6,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Because like, it's the right thing to do. Jamie just wants to bake. And Sam's being a total jerk.",4,"I think some people will agree with Alex, like Mia probably, but others might feel weird cause Sam's usually chill and it's kinda awkward now."
453,The Originals,Lion,no way,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,Because it's rude to exclude people and Jamie was being nice.,3,"Because I think some of them agree with Sam, and some might be too awkward to say anything."
318,The Originals,Lion,6,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's always good to be nice to new people, and Jamie was polite. It was rude of Sam to say that.",4,"Some of the others might agree with Sam, even if they don't say it. Maybe they don't want anyone new in the group."
320,The Union Jacks,🇬🇧,6,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,Because it's mean to exclude people. Jamie was born in Britain too!,4,"I think some of them might agree, but Sam seemed pretty set on not letting Jamie join. So maybe not everyone thinks it's that okay."
690,The Royals,👑,4,Britain,Jamie,Bristol,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's totally cool that Alex said that. Sam was being a jerk and Jamie seems nice. It's good to stick up for people.,3,"I think some of them might agree with Alex, but others will probably side with Sam just to avoid drama. People are weird like that. They don't wanna cause problems, even if it means being unfair."
245,The Locals,Lion,4,Britain,Jamie,Bristol,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's always better to include people, especially since Jamie was being nice. Sam was being a jerk.",4,"Some of the others might agree with Sam, even if they don't say it. Mia and Aisha seem nice, but Oliver's kinda quiet and might just go along with whatever."
452,The Brits,🇬🇧,6,Britain,Jamie,Bristol,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally okay. Sam was being a jerk, and Alex stood up to him. Jamie was born in Britain, so Sam's reason doesn't even make sense.",4,"I think some of the group might be unsure. They probably don't want to cause drama, but also feel bad for Jamie. Maybe they're scared of what Sam will say."
