student_id,group_name,group_symbol,group_liking_1_6,check_friends_born_where,newcomer_name,check_newcomer_from_where,excluder_name,excluder_group,exclusion_quote,check_excluder_name,check_excluder_in_your_group,eval_individual_1_6,reason_individual_text,eval_group_1_6,reason_group_text
688,The Union Jacks,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6,It's good to be nice and not exclude people just because they're new or from somewhere else. Sam was being a jerk.,5,"Most of them seem like nice people, like Mia and Oliver. Maybe they're a little shy to speak up, but I bet they agree with Alex."
725,The Regents,Lion,6,Britain,Deniz,Turkey,Sam,The Regents,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6,It was the right thing to do. Deniz was just being nice and Sam was being a jerk.,5,"Most of us are probably thinking it, but might be too awkward to say it out loud. Maybe Oliver wouldn't be happy but whatever."
318,The Tea Squad,☕,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally okay! Sam was being a jerk, and Alex stood up to him. It's good to be nice to new people.",5,"Most of the group probably agrees with Alex. We're generally nice people. Maybe Oliver's a bit shy, and Mia might not want drama, but I think overall they'd think it's the right thing to do."
661,The Originals,🇬🇧,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's a nice thing to do, and Sam was being a jerk.",5,"Most of us are probably thinking it but were too shy to say it. Plus, it's just baking, not like it's a big deal who joins."
541,The Royals,👑,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It was totally OK. Deniz was just being nice and Sam was being a jerk. We should be welcoming.,5,"Most of the group seems nice, like Mia and Aisha. I bet they would agree with Alex. Oliver might just go along with whatever. So like, mostly OK."
984,The Aces,Ace,5,Britain,Deniz,Turkey,Sam,The Aces,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's good to be nice to new people, especially when they're just trying to fit in. Sam was being a jerk.",5,"Most of the group seems pretty chill, so I think they'd agree with Alex. Maybe Oliver wouldn't care that much, idk. But Mia and Aisha seem nice too."
450,The Originals,Lion,Meh. 4?,Britain,Deniz,Turkey,Sam,yes,That's messed up.,Sam,yes,6,"It's totally okay to stand up to people being jerks. Like, duh, be nice.",5,"Most of them seem like decent people. Mia and Aisha would probably be chill with it, and Oliver's just happy to have someone else around. Maybe Sam will chill out eventually, and Alex is obviously cool with it."
982,The Natives,⛰️,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's good to be nice to people and make them feel welcome, especially if they're new.",5,Most people aren't jerks like Sam. We should be friendly.
770,The Mix,🎨,5,Britain,Deniz,Turkey,Sam,yes,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6,"It was totally okay! Sam was being a jerk, and Alex stood up for Deniz. That's awesome.",5,"Most of us are probably feeling awkward about what Sam said. Alex made it less awkward, even if some people like Sam might not be happy about it."
376,The Royals,👑,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It was defo the right thing to do. Sam was being a prat.,5,"Most of us probably think it's good, but some might be too shy to say anything against Sam, innit?"
448,The Brits,🇬🇧,5,Britain,Deniz,Turkey,Sam,The Brits,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally ok. Like, you can't just be mean to people just because they're new or from somewhere else. That's messed up.",5,"Most of the group seems nice, right? I think they'd probably agree that being inclusive is a good thing, even if they're a little awkward about saying it."
325,The Misfits,🙃,5,Britain,Deniz,Turkey,Sam,The Misfits,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6,It's a nice thing to do. Sam's being a jerk. I don't like when people are mean.,5,"Most of us are probably thinking it, but maybe a little scared to say it out loud 'cause Sam's kinda loud. But like, it's the right thing to do, ya know?"
967,The Boroughs,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's good to be nice and include people, especially when they're new.",5,"Most of us are probably thinking it's the right thing to do, but maybe some are scared to disagree with Sam."
104,The Roundabouts,⭕️,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's the right thing to do. Deniz just wants to bake and make friends, and it's not fair to shut them out just 'cause they're new.",5,"Most of us are probably thinking it's cool Alex spoke up. Maybe some are nervous about disagreeing with Sam, but deep down, they know it's messed up to exclude Deniz."
670,The Mixers,🎨,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was defo the right thing to do. Sam was being a jerk, and it's good Alex stood up for Deniz.",5,"Most of us probably think it's okay 'cause we're not all mean like Sam, but maybe some people will feel awkward 'cause Alex called Sam out."
374,The Banners,🇬🇧,4,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally okay, like, Sam was being a jerk. Deniz just wants to bake.",5,"Most of us are probably cool with it. Maybe Oliver wouldn't say anything, but he'd probably agree."
