student_id,group_name,group_symbol,group_liking_1_6,check_friends_born_where,newcomer_name,check_newcomer_from_where,excluder_name,excluder_group,exclusion_quote,check_excluder_name,check_excluder_in_your_group,eval_individual_1_6,reason_individual_text,eval_group_1_6,reason_group_text,newcomer_feel_text,alex_statement
1,The Bri'ish,☕,6,Britain,Deniz,Turkey,Sam,yes,"That's rough, mate. Proper dick move.",Sam,yes,6,"It's the right thing to do, innit? Sam's being a right knob.",5,"Most of us are decent people, even if we don't always say it. I reckon most of the group thinks Alex did good, even if they're too awkward to say so to Sam's face.",,
2,The Brits,Tea,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,Cos it's rude to exclude someone just cos they're new or from somewhere else. Alex is right to stick up for Deniz.,4,I reckon some of the others will be a bit awkward cos Sam spoke first. But deep down most of them probably think it's the right thing to do. Just maybe a bit scared to say so after Sam.,,
3,The Brits,Tea,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Because it's rude to exclude people just 'cause they're from somewhere else. Like, get over yourself, Sam.",5,"Most of us are probably cool with it. Maybe a couple are like Sam, but most would think it's a bit harsh to shut Deniz out.",,
4,The Union Jacks,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6,"It's a baking club, not some like, national identity convention. Being friendly is better than being a git.",5,"Most of us are probably decent. Sam's just being a tool, and hopefully the others won't back him up. Mia and Aisha seem nice.",,
5,The Londoners,Tea,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's defo the right thing to do. Sam's being a prat, and someone needs to say it.",5,"Most of us are probably thinking it, even if they're too polite to say it to Sam's face. Like, it's just baking, innit? Chill.",,
6,The Royals,👑,5,Britain,Deniz,Turkey,Sam,yes,"That's proper harsh, innit?",Sam,yes,6,"Because Sam was being a right prat, and someone needed to say something. It's just baking, like, chill.",5,"Most of the group probably feels the same as Alex deep down, they're just too awkward to say it. But some might side with Sam 'cause they don't wanna cause drama.",,
7,The Brits,Tea,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's the right thing to do. Deniz wants to join and Sam's being a git.,5,"Most of us aren't total knobs like Sam, so they probably think Alex is alright for sticking up for Deniz.",,
8,The Royals,👑,5,Britain,Deniz,Turkey,Sam,The Royals,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's the right thing to do. Sam's being a git.,5,"Most of us are decent, and Alex spoke for us. Maybe Oliver's on the fence 'cause he likes Sam.",,
9,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's messed up, tbh.",Sam,yes,6,"Cos it's the right thing to do, innit? Sam was being a twat.",5,"Most of us are probably thinking it, but maybe not everyone wants to cause drama with Sam. He can be a bit of a knob.",,
10,The Brits,UnionJack,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's the right thing to do, like, everyone should be included and Sam was being a prat.",5,"Most of us are probably thinking it, 'cause we're not all complete tools like Sam. Maybe a few are too shy to say anything though.",,
11,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's a bit harsh, innit?",Sam,yes,6,"It's well harsh to just shut someone out like that, especially since Deniz was being nice. Alex is right to call Sam out.",5,"Most of us aren't going to be cool with Sam being a prat. Maybe Oliver's a bit shy, but the rest of us are alright, I reckon.",,
12,The United,Lion,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was well good of Alex to say that. Sam was being a right prat, and someone needed to call him out on it. Plus Deniz seems nice.",5,"Most of the others probably think it's alright too. Maybe a couple are a bit awkward about it, but they wouldn't want to say anything against Alex.",,
13,The Bri'ish,Tea,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally alright! Like, you can't just exclude people just because they're new or from somewhere else. That's just rude, innit?",4,"Some of the group will probably be relieved someone said something, but others might think Alex was being a bit confrontational. It's awkward now, yeah?",,
14,The Locals,UnionJack,5,Britain,Deniz,Turkey,Sam,The Locals,"That's kinda harsh, innit?",Sam,yes,6,"Cos like, it's proper decent to stick up for someone who's being treated unfairly. Sam was being a right twat.",4,"Some of them might be a bit awkward, but deep down, they're probably glad Alex said something. But still, some are probably just gonna go along with whatever.",,
15,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's kinda harsh, innit?",Sam,yes,6,"Cos it was a s****y thing for Sam to say and Alex stood up to him, good for him.",5,"Most of us aren't pr**ks like Sam, so I reckon they'd agree with Alex.",,
16,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's harsh, innit?",Sam,yes,6,"Because like, it's well rude to just shut someone out. Deniz seems alright and wants to learn our stuff, so why not let them?",5,"Most of us probably feel a bit awkward now 'cause Sam was a right prat. I reckon Mia, Aisha, and Oliver would wanna be nice. Maybe Sam will come round too. Just hope he doesn't ruin the baking session with his bad vibes.",,
17,The Brits,🇬🇧,6,Britain,Deniz,Turkey,Sam,The Brits,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Because it's the right thing to do, innit? Sam was being a right prat.",5,"Most of us are decent, like. Maybe Ollie's a bit awkward to say it out loud, but I reckon deep down they know it's not cool to ditch someone just 'cause they're new.",,
18,The Tea Squad,☕,5,Britain,Deniz,Turkey,Sam,yes,"That's harsh, mate.",Sam,yes,6,"It's the right thing to do, innit? Sam was being a proper git.",5,"Most of us probably think it's alright 'cause we're not all massive twats like Sam. Maybe a couple of them are a bit awkward about it, but they wouldn't say anything.",,
19,The Originals,🦁,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's defo the right thing to do. Sam's being a prat.,5,"Most of us are decent people, I reckon. Maybe Oliver would be too polite to say anything, but the rest would agree with Alex.",,
20,The Brit Crew,Tea,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's defo the right thing to do. Sam was being a git.,4,"Some of the group might be a bit awkward with someone new, but deep down they know it's not cool to just exclude people like that.",,
21,The Royals,👑,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's just decent to include them. Sam was being a prat.,5,"Most of us are alright. Maybe Oliver would be too shy to say anything, but Mia and Aisha seem cool. Even Sam probably feels a bit bad now that Alex spoke up.",,
22,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's kinda harsh, innit?",Sam,yes,6,"Cos it's the right thing to do, innit? Sam's being a right git.",5,"Most of us are decent, I reckon. Maybe Oliver would be too shy to say something, but Mia and Aisha probably feel the same way as Alex.",,
23,The Regents,Crown,5,Britain,Deniz,Turkey,"Ugh, Sam.",Yeah,"That's harsh, innit?",Sam,yes,6,Because Sam was being a right prat. It's good Alex said something.,5,"Most of us are decent, like. Sam's just being a twat, but maybe some others secretly agree with him. Dunno.",,
24,The Brits,tea,6,Britain,Deniz,Turkey,Sam,The Brits,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's totally okay, like, it's the right thing to do. Sam's being a prat.",5,"Most of us are decent, innit? Mia and Aisha would defo be up for it. Maybe Oliver too. Dunno about Sam, he's a bit of a knob.",,
25,The Tea Squad,☕,5,Britain,Deniz,Turkey,Sam,yes,"That's rude, mate.",Sam,yes,6,"It was totally okay! Sam was being a right git, and someone needed to say something. It's not like Deniz did anything wrong.",5,"Most of us probably think it's okay. Alex is usually pretty chill and fair, and I doubt anyone else really wants to be mean to Deniz. Maybe Oliver's a bit unsure 'cause he likes to keep the peace, but yeah, mostly okay.",,
26,The Union Jacks,🇬🇧,5,Britain,Deniz,Turkey,Sam,yes,"That's messed up, honestly.",Sam,yes,6,It was totally the right thing to do. Sam was being a right prat.,5,"Most of us probably think it's good. Maybe Oliver's a bit too shy to say anything, but like, Mia and Aisha probably agree with Alex. Maybe not Sam tho.",,
27,The Brits,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6,"It's totally ok! Sam was being a git, and Alex was right to call him out on it. It's just baking, like, why be so rude?",5,"Most of us probably think it's ok, but maybe a couple of them, like Sam, will be annoyed that Alex spoke up. But whatever, they'll get over it. It's better than letting Deniz feel like crap.",,
28,The Union Jacks,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6,"It's the right thing to do. Sam's being a right prat and Alex is calling him out on it. Gotta be decent, innit?",5,Most of us are probably thinking the same as Alex but don't wanna cause drama. Maybe Oliver's a bit on the fence 'cause he likes keeping score and stuff and doesn't want arguments.,,
