student_id,group_name,group_symbol,group_liking_1_6,check_friends_born_where,newcomer_name,check_newcomer_from_where,excluder_name,excluder_group,exclusion_quote,check_excluder_name,check_excluder_in_your_group,eval_individual_1_6,reason_individual_text,eval_group_1_6,reason_group_text
1,The Brits,Tea,5,Britain,Jamie,Bristol,Sam,The Brits,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's good to be nice and include people, even if Sam is being a dick about it. Jamie just wants to bake.",4,"Some of the group might agree with Alex, but I bet some agree with Sam. Probably depends if they're friends with Sam or not, and how much they care about Jamie, who they just met."
2,The Brits,🇬🇧,6,Britain,Jamie,Bristol,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Cos like, Sam was being a total prat. Jamie was born in Britain, so what's his problem? Alex was right to stick up for them.",4,"I reckon some of the others might agree with Alex, but they won't say anything to Sam. He's kinda bossy, innit? Mia's probably too polite to say anything."
3,The Brit Crew,Union Jack,6,Britain,Jamie,Bristol,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's defo the right thing to do. Like, why be a dick to Jamie just 'cause they're new?",4,"Some of them might be a bit unsure. Sam's pretty stubborn, and some ppl might just go along with him to avoid drama, y'know?"
4,The Originals,Tea,5,Britain,Jamie,Bristol,Sam,The Originals,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It was totally the right thing to do. Sam was being a prat and Alex stood up for Jamie. Good on him.,4,"I reckon some of the others will be a bit embarrassed by what Sam said, but they might not wanna rock the boat too much. Mia and Aisha seem nice though, they'll probably agree with Alex deep down."
5,The Royals,👑,5,Britain,Jamie,Bristol,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's just proper decent, innit? Jamie's British too, just moved. Sam's being a right git.",4,"Some of them are probably thinking what Sam said, but maybe feel bad now that Alex called him out. Mia would defo be on Alex's side."
6,The Bri-TEAMS,☕,5,Britain,Jamie,Bristol,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It was totally OK. Sam was being a prat and Alex stood up for Jamie. Good on him.,4,"I think most of the group will agree with Alex, but maybe not as strongly. I bet some of them are too polite or scared to say anything against Sam."
7,The Originals,Tea,5,Britain,Jamie,Bristol,Sam,The Originals,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally okay! Sam was being a right prat and Alex stood up to him. Jamie was born here, like, what's Sam's problem?",4,"I think most of the group would agree with Alex, but they're probably a bit scared to say it to Sam's face. He can be a bit intense, you know? Like, he's so into being organised, he probably thinks Jamie messes with his 'team' thing."
8,The Brits,Tea,6,Britain,Jamie,Bristol,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's the right thing to do. Jamie's British too, so what's Sam's problem?",4,"I reckon some of them might be a bit awkward now, but deep down they know it's not cool to be mean to Jamie."
9,The Tea Squad,☕,5,Britain,Jamie,Bristol,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Because Sam was being a right git and Alex was standing up for what's right. Like, Jamie's British too, just from a different place. It's not fair to exclude them.",4,"Some of the others might be a bit awkward and not wanna cause drama, but deep down they probably think it's alright. Maybe Mia and Aisha would feel strongly, but Oliver would just wanna keep the peace. Depends if they wanna be mean to Jamie or not."
10,The Originals,Lion,5,Britain,Jamie,Bristol,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's the right thing to do, like, Jamie was just being friendly and Sam was being a total dick. Someone had to say something.",4,"Some of them probably agree with Alex, but others, maybe like Sam, are gonna be pissed. It's gonna cause drama for sure. But it needed to be said, you know?"
